Ranking,Name,Year,IMDb Score
1,The Shawshank Redemption,1994,9.2
2,The Godfather,1972,9.1
3,El padrino II,1974,9.0
4,Batman 2 - El caballero de la noche,2008,9.0
5,Doce hombres en pugna,1957,8.9
6,Schindler's List,1993,8.9
7,The Lord of the Rings: The Return of the King,2003,8.9
8,Pulp Fiction,1994,8.9
9,"El bueno, el malo y el feo",1966,8.8
10,Fight Club,1999,8.8
11,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
12,Forrest Gump,1994,8.8
13,Inception,2010,8.7
14,Joker,2019,8.7
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
16,El señor de los anillos: Las dos torres,2002,8.7
17,Matrix,1999,8.6
18,One Flew Over the Cuckoo's Nest,1975,8.6
19,Goodfellas,1990,8.6
20,Los siete samurai,1954,8.6
21,Se7en,1995,8.6
22,Cidade de Deus,2002,8.6
23,La vita è bella,1997,8.6
24,The Silence of the Lambs,1991,8.6
25,It's a Wonderful Life,1946,8.6
26,La guerra de las galaxias,1977,8.6
27,Saving Private Ryan,1998,8.5
28,El viaje de Chihiro,2001,8.5
29,The Green Mile,1999,8.5
30,Léon,1994,8.5
31,Interstellar,2014,8.5
32,Seppuku,1962,8.5
33,The Usual Suspects,1995,8.5
34,The Lion King,1994,8.5
35,American History X,1998,8.5
36,Back to the Future,1985,8.5
37,The Pianist,2002,8.5
38,Modern Times,1936,8.5
39,Terminator 2: Judgment Day,1991,8.5
40,Amigos para siempre,2011,8.5
41,Psycho,1960,8.5
42,Gladiador,2000,8.5
43,City Lights,1931,8.5
44,Infiltrados,2006,8.5
45,Whiplash: Música y obsesión,2014,8.5
46,Once Upon a Time in the West,1968,8.5
47,El gran truco,2006,8.5
48,Casablanca,1942,8.4
49,La tumba de las luciérnagas,1988,8.4
50,Avengers: Endgame,2019,8.4
51,Rear Window,1954,8.4
52,Nuovo Cinema Paradiso,1988,8.4
53,Alien,1979,8.4
54,Raiders of the Lost Ark,1981,8.4
55,Memento,2000,8.4
56,Apocalipsis ahora,1979,8.4
57,The Great Dictator,1940,8.4
58,Gisaengchung,2019,8.4
59,The Lives of Others,2006,8.4
60,Django Unchained,2012,8.4
61,Avengers: Infinity War,2018,8.4
62,The Shining,1980,8.4
63,Spider-Man: Into the Spider-Verse,2018,8.4
64,Paths of Glory,1957,8.4
65,WALL·E,2008,8.4
66,Mononoke-hime,1997,8.4
67,Sunset Blvd.,1950,8.4
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4
69,Oldeuboi,2003,8.4
70,Witness for the Prosecution,1957,8.3
71,The Dark Knight Rises,2012,8.3
72,Once Upon a Time in America,1984,8.3
73,Aliens,1986,8.3
74,Belleza americana,1999,8.3
75,Kimi no na wa.,2016,8.3
76,Coco,2017,8.3
77,Corazón valiente,1995,8.3
78,Das Boot,1981,8.3
79,3 Idiots,2009,8.3
80,Star Wars: Episode VI - Return of the Jedi,1983,8.3
81,Taare Zameen Par,2007,8.3
82,Toy Story,1995,8.3
83,Reservoir Dogs,1992,8.3
84,Amadeus,1984,8.3
85,Dangal,2016,8.3
86,Inglourious Basterds,2009,8.3
87,Good Will Hunting,1997,8.3
88,Requiem for a Dream,2000,8.3
89,M - Eine Stadt sucht einen Mörder,1931,8.3
