Ranking,Name,Year,IMDb Score
1,Disaster Movie,2008,2.0
2,Superbabies: Baby Geniuses 2,2004,2.1
3,Manos: The Hands of Fate,1966,2.1
4,Kod Adi K.O.Z.,2015,2.2
5,Birdemic: Shock and Terror,2010,2.2
6,The Hottie & the Nottie,2008,2.3
7,Saving Christmas,2014,2.3
8,House of the Dead,2003,2.3
9,Pledge This!,2006,2.4
10,El hijo de la máscara,2005,2.4
11,Una película épica,2007,2.5
12,Dünyayi Kurtaran Adam'in Oglu,2006,2.5
13,Alone in the Dark,2005,2.6
14,From Justin to Kelly,2003,2.6
15,Battlefield Earth,2000,2.6
16,Going Overboard,1989,2.7
17,Dragonball: Evolución,2009,2.7
18,Daniel der Zauberer,2004,2.7
19,Gigli,2003,2.7
20,Glitter,2001,2.8
21,Una loca película de esparta,2008,2.8
22,No es otra película de amor,2006,2.9
23,Baby Geniuses,1999,2.9
24,Race 3,2018,3.0
25,Who's Your Caddy?,2007,3.1
26,Hobgoblins,1988,3.1
27,Jaws: The Revenge,1987,3.1
28,BloodRayne,2005,3.1
29,Troll 2,1990,3.2
30,The Human Centipede III (Final Sequence),2015,3.2
31,La Última Profecía,2014,3.3
32,Tees Maar Khan,2010,3.3
33,Kazaam,1996,3.3
34,Enes Batur Hayal mi Gerçek mi?,2018,3.3
35,Rollerball,2002,3.4
36,Gunday,2014,3.4
37,Jack and Jill,2011,3.4
38,Steel,1997,3.4
39,Santa Claus contra los marcianos,1964,3.4
40,Gatúbela,2004,3.4
41,The Emoji Movie,2017,3.4
42,Bratz,2007,3.5
43,The Starving Games,2013,3.5
44,Vampires Suck,2010,3.5
45,Slender Man,2018,3.5
46,3 Ninjas: High Noon at Mega Mountain,1998,3.5
47,Daddy Day Camp,2007,3.5
48,Barb Wire,1996,3.5
49,Far Cry,2008,3.6
50,The Return of the Texas Chainsaw Massacre,1994,3.6
51,Dumb and Dumberer: When Harry Met Lloyd,2003,3.6
52,The Open House,2018,3.6
53,Scary Movie 5,2013,3.6
54,The Master of Disguise,2002,3.6
55,Hercules in New York,1970,3.6
56,Spice World,1997,3.7
57,Crossroads,2002,3.7
58,Las aventuras del niño Tiburon y la niña de fuego,2005,3.7
59,Die unendliche Geschichte III: Rettung aus Phantasien,1994,3.7
60,The Room,2003,3.7
61,Spy Kids 4: All the Time in the World,2011,3.7
62,Feardotcom,2002,3.7
63,Bucky Larson: Born to Be a Star,2011,3.7
64,Police Academy: Mission to Moscow,1994,3.7
65,Fifty Shades of Black,2016,3.8
66,Captain America,1990,3.8
67,Batman & Robin,1997,3.8
68,D-War,2007,3.8
69,Jaws 3-D,1983,3.8
70,El culto siniestro,2006,3.8
71,Mac and Me,1988,3.8
72,Calabozos y dragones,2000,3.8
73,Mortal Kombat: Annihilation,1997,3.8
74,The Fog,2005,3.8
75,Superman IV: The Quest for Peace,1987,3.8
76,I Know Who Killed Me,2007,3.8
77,Piranha 3DD,2012,3.8
78,The Flintstones in Viva Rock Vegas,2000,3.8
79,Teen Wolf Too,1987,3.9
80,The Love Guru,2008,3.9
81,Street Fighter: The Legend of Chun-Li,2009,3.9
82,In the Name of the King: A Dungeon Siege Tale,2007,3.9
83,Stan Helsing,2009,3.9
84,The Human Centipede II (Full Sequence),2011,3.9
85,Máxima velocidad 2,1997,3.9
86,Dance Flick,2009,3.9
87,The Avengers,1998,4.0
88,S. Darko,2009,4.0
89,Swept Away,2002,4.0
90,The Adventures of Pluto Nash,2002,4.0
91,Ballistic: Ecks vs. Sever,2002,4.0
92,The Cat in the Hat,2003,4.0
93,Street Fighter,1994,4.0
94,Beverly Hills Chihuahua,2008,4.0
95,Exorcist II: The Heretic,1977,4.0
96,2001: A Space Travesty,2000,4.0
97,Holmes & Watson,2018,4.0
98,Escape Plan 2: Hades,2018,4.0
99,Noche de graduación sangrienta,2008,4.1
100,Fifty Shades of Grey,2015,4.1
