Ranking,Name,Year,IMDb Score
1,Anand,1971,8.7
2,Nayakan,1987,8.5
3,Anbe Sivam,2003,8.5
4,Gol Maal,1979,8.5
5,Pather Panchali,1955,8.5
6,Drishyam,2013,8.5
7,Vikram Vedha,2017,8.5
8,Black Friday,2004,8.4
9,Ratsasan,2018,8.4
10,Manichitrathazhu,1993,8.4
11,Apur Sansar,1959,8.4
12,Taare Zameen Par,2007,8.4
13,3 Idiots,2009,8.4
14,Pariyerum Perumal,2018,8.4
15,Dangal,2016,8.4
16,Jaane Bhi Do Yaaro,1983,8.3
17,Thalapathi,1991,8.3
18,96,2018,8.3
19,Aruvi,2016,8.3
20,Chupke Chupke,1975,8.3
21,Guide,1965,8.3
22,Andhadhun,2018,8.3
23,Aparajito,1956,8.2
24,Thani Oruvan,2015,8.2
25,Kannathil Muthamittal,2002,8.2
26,Khosla Ka Ghosla!,2006,8.2
27,Vada Chennai,2018,8.2
28,Dhuruvangal Pathinaaru,2016,8.2
29,Uri: The Surgical Strike,2019,8.2
30,Peranbu,2018,8.2
31,Shahid,2012,8.2
32,Talvar,2015,8.2
33,Soodhu Kavvum,2013,8.1
34,Rang De Basanti,2006,8.1
35,Gangs of Wasseypur,2012,8.1
36,Drishyam,2015,8.1
37,Satya,1998,8.1
38,Gully Boy,2019,8.1
39,Bhaag Milkha Bhaag,2013,8.1
40,"Swades: We, the People",2004,8.1
41,Mughal-E-Azam,1960,8.1
42,Sholay,1975,8.1
43,Premam,2015,8.1
44,Hera Pheri,2000,8.1
45,Article 15,2019,8.1
46,Queen,2013,8.1
47,Jigarthanda,2014,8.1
48,Bangalore Days,2014,8.1
49,Chak De! India,2007,8.1
50,Paan Singh Tomar,2012,8.1
51,Mahanati,2018,8.1
52,Black,2005,8.1
53,Jo Jeeta Wohi Sikandar,1992,8.1
54,Mudhalvan,1999,8.1
55,Munna Bhai M.B.B.S.,2003,8.1
56,Andaz Apna Apna,1994,8.1
57,Dil Chahta Hai,2001,8.1
58,Ustad Hotel,2012,8.1
59,Lagaan: Once Upon a Time in India,2001,8.1
60,Anniyan,2005,8.1
61,A Wednesday,2008,8.1
62,Sairat,2016,8.1
63,Udaan,2010,8.1
64,Tumbbad,2018,8.1
65,OMG: Oh My God!,2012,8.1
66,Sarfarosh,1999,8.1
67,Roja,1992,8.1
68,PK,2014,8.1
69,Zindagi Na Milegi Dobara,2011,8.1
70,Kahaani,2012,8.1
71,Pink,2016,8.1
72,Chhichhore,2019,8.1
73,Iqbal,2005,8.1
74,Masaan,2015,8.1
75,Maqbool,2003,8.1
76,Theeran Adhigaaram Ondru,2017,8.1
77,Barfi!,2012,8.0
78,Omkara,2006,8.0
79,Baasha,1995,8.0
80,The Legend of Bhagat Singh,2002,8.0
81,Lage Raho Munna Bhai,2006,8.0
82,Bombay,1995,8.0
83,Bommarillu,2006,8.0
84,Lucia,2013,8.0
85,Dilwale Dulhania Le Jayenge,1995,8.0
86,Ugly,2013,8.0
87,Deewaar,1975,8.0
88,Baahubali 2: The Conclusion,2017,8.0
89,Gulaal,2009,8.0
90,Haider,2014,8.0
91,Mother India,1957,8.0
92,Padosan,1968,8.0
93,Indian,1996,8.0
94,Athadu,2005,8.0
95,Arjun Reddy,2017,8.0
96,Dev.D,2009,8.0
97,Super 30,2019,8.0
98,Special Chabbis,2013,7.9
99,Badhaai Ho,2018,7.9
100,Bajrangi Bhaijaan,2015,7.9
101,Vaastav: The Reality,1999,7.9
102,Company,2002,7.9
103,Mukkabaaz,2017,7.9
